,0
1131,"What a puppet show!!!. CPR TEST ARE NOT MADE FOR THIS PURPOSE, and  only 7% accurate according to Dominic Raab, and Cummings said that 9 out of 10 tests are false positives. TESTS ARE FLAWED.<br>THEY ARE TO FIND CANCER CELLS BUT PICK UP. BROKEN AND DAMAGED DNA AND RNA OF ANY INFECTION, WHETHER INFLUENZA OR THE 37 STRAINS OF COVID INCLUDING COMMON COLD.<br>BE NOT DECEIVED. <br><br>THE BIBLE SAYS THESE THINGS WILL COME TO PASS in the BOOK OF REVELATION. <br><br>There is hope in JESUS CHRIST only , PUT YOUR TRUST IN HIM AND BE SAVED.<br>HALLELUJAH,  AMEN.<br><br>Praise the Lord Jesus Christ and his church and ministries, with regards to his saints, angels and prophets of righteousness.  Bless Gods kingdom and his Holy spirit.  Bless all the children on the earth, and the young, old and those with infirmities,and those suffering bondage, hunger, famine, war and imprisonment.<br>I pray for the lost, all back sliders, and all The nations and its leaders. I pray for all my brothers and sisters in the faith, all unbelievers and sinners.  I pray for my kids, family, extended family, friends neighbour&#39;s, enemies  and those of Christ.<br>Hallelujah praise his mighty name and bless those that read this. Jesus loves you all. Amen. X"
1132,Defund the bbc
1133,The great reset - 6uild 6ack 6etter
1134,I really appreciate all her effort with the little investment of $500 with joy all over me after withdrawing $5000 and another $3500 through the help of my manager mrs Joel. You can connect with her on Instagram @joelclaytonfx
1135,I am very happy that I can make money.  The way they told me was exactly the same as the way I took back profits.  I have no debts for the tank for Mrs. Joel today.  I hope the world knows you and your good works.  Connect with her on Instagram @joelclaytonfx
1136,Not a fu  in clue
1137,Bojo cant handle this country face it!
1138,"Fuck you all you don&#39;t believe God i hope everyone died, i bing they for 8 years this shit government no answer me"
1139,"The covid19 is getting to be a pain in ass. I can&#39;t go to Dentist, can&#39;t get my lungs and heart looked at tell 2021. They cancel new years eve fireworks in London . Surely they could at least give us a Fireworks display on TV still. New Year will be flat. What&#39;s up with them."
1140,"<a href=""https://www.youtube.com/watch?v=kr04gHbP5MQ"">https://www.youtube.com/watch?v=kr04gHbP5MQ</a>"
1141,These global garbage that fool the world with this virus have viruses in their brains.
1142,"Bad risk assessment by all those companies. Not the first, not the last we&#39;ll have. Next time, tax payers shouldn&#39;t be asked to bail those out, if you don&#39;t have a pandemic fund: it will be entirely your own fault."
1143,"All of this just because to give us the new vaccine, we not gonna take it"
1144,Time to go boris you&#39;ve let the people of the UK down what a shit show
1145,"propaganda again and again scare people into accepting the agenda naa not for me  fearmongering media can do one. i guess the bbc have forgot the footage of them also stating the test is not 100% and that people will be stats even if they did not die from the virus. oops how quickly people forgot and latch onto new bullsh#×.  by the way the pcr test was never designed for covi 2 was for sars 1 the inventor stated this himself and said it will not be accurate. 42,000 will these be the same innacurate blown up stats again."
1146,"<a href=""https://www.youtube.com/watch?v=14jf3rbG2QQ&amp;t=0m45s"">0:45</a> &quot;I&#39;ll ask Joe&quot;<br><b>Proceeds to look directly at moderator</b><br> XD CAN&quot;T BREATHE"
1147,I mean some of the smart remarks just are funny but this isn’t supposed to be entertaining lol
1148,Boy I’m glad I’m not of the Republican Party. <br><br><br>I mean I’m not democrat either but at least I’m not republican.
1149,What kind of this presidential debate?
1150,Either ways Trump must win . Biden is just a Joker .
1151,"A very great job against the Opioid crisis also. About the drug market, it was incredible but the reality. For the same drugs by the same manufactory, drug prices in some European countries were extraordinarily much lower than in the United States. Even free for a part of them (0.001 € per tablet, pill, injectable or unit) for the public hospitals."
1152,"obamacare is so Narcissistic lol, naming a health care after yourself but &quot;I&#39;m a democrat, i&#39;m for the people&quot;...cool story bro"
1153,“The election of Donald Trump did not create the left’s hate.... it revealed it.”
1154,"Wallace forgot hs was a moderator? Is THAT what happened??? He was debating with Trump. What a complete idiot.<br>Not that the BBC an extreme left wing LEFASCIST organization even noticed, BBC should be defunded instead of the police. Wallace and most of MSM are completely in dream world. There is no fair representation anymore."
1155,Trump was on his own up there while Wallace clearly sided with Biden!!!
1156,When someone accuses me of a lye while asking their question they dont get to finish the lye question.
1157,"Boris, Hancock, Whitty &amp; Vallance are all going to jail. All the lies over this PLANNED virus are catching up with them. The web is closing in on them &amp; they know it - <a href=""https://www.bitchute.com/video/lFC2tRCbl7nP/"">https://www.bitchute.com/video/lFC2tRCbl7nP/</a>"
1158,"Biden crime family got exposed hard. Never mind that Joe lied all night, where&#39;s Hunter Biden Hiden?"
1159,"I have never in my life seen such shamelessness during a presidential debate. The Republican party should have educated him on proper etiquette and politics. Trump is the biggest mistake they ever made. It is almost as if he was at a business forum or something, what does reducing prices help? Talk about free healthcare? Reducing unemployment? Anything but yourself."
1160,"Trump HAD to clash with the &quot;moderator&quot; if you can call Millhouse Wallace that, mainly because Wallace wasn&#39;t fact-checking Biden at any stage, didn&#39;t force Biden to answer any questions, so Trump ended up doing his own fact-checking of sleepy Joe and asking actual questions of him, which he still never answered 🙄 by the way, how&#39;s Hunter &amp; Antifa Joe?"
1161,"2 on 1. Wallace had to pinch hit for Sleepy Joe. Chris Wallace threw  softballs to Joe, than packaged hardball questions for Trump. Trump 2020; lower taxes, no Paris/prison Accord, no Green New Deal...not enough money in the treasury to make that effectively happen; or sustain our military strength. It is nonsense."
1162,Trump was beaten like a pinyata-go tax paying Joe
1163,"&quot;American Veterans, Current Military &amp; Families&quot;<br>                                                 As of: 10,1,2020 <br>                                      Donald Trump &amp; His Administration...<br>                                        &quot;LIED&quot; &amp; KNOWINGLY ALLOWED&quot;<br>                                          &quot;211,833&quot; AMERICANS TO DIE&quot; <br>                                                &quot;FROM CORONAVRIUS&quot;<br><br>                                 &quot;Trumps thoughts &amp; comments on America&#39;s Military...<br>               Trump allowed Russian Bounties on American Military with no consequences<br>                       (The U.S. would retaliate if bounties on U.S. troops were true<br>            (not taking intelligence information concerning soldiers deaths seriously<br>                             (Trump quote on Russian Bounties---Aug 20,2020)                                     <br>                        Asked wounded veterans be kept out of military parades <br>                  Refused to visit military cemetery in France because it was raining<br>                            Took four collage deferments from 1964 to 1968<br>                       When those deferments ran out, in 1972 Trump then took a<br>                                   1-Y medical deferment due to (bone) spurs<br>                                                 &quot;Trump on (bone) spurs...<br>                 “I had a doctor that gave me a letter, a very strong letter on the heels,” <br>                      &quot;It was not a big problem, “Over a period of time, it healed up,”<br>            (Trump kept his 1-Y status until 1972, when he became 4-F and was permanently <br>                                      disqualified from military service in Vietnam)<br>                                 &quot;58,214 Brothers &amp; Sisters were killed in country&quot;<br>                              Over 1,626 Americans missing &amp; Still Unaccounted for<br>                                            Vietnam Veterans &amp; America<br>                                              Who do you think our lost<br>                                                 Servicemen &amp; Woman<br>                                                      Would Want You<br>                                                         To Vote For<br>                                               &quot;Another Thing...<br>                                                  &quot;America&#39;s Military are not&quot;<br>                                                      &quot;LOSERS &amp; SUCKERS&quot; <br>                                         &quot;You draft dodging lying chicken sh%t&quot;<br>                                               I implore every Vietnam Vet to...<br>                          &quot;Vote Trump &amp; his administration out of office this November&quot;<br>                                                           Or the next <br>                                        &quot;Loser may be YOU or A Family Member&quot;<br>                                                            P.O.W. M.I.A.<br>                                                            Never Forget.."
1164,I like his idea behind cutting big pharmas stupid prices but he has the listening and discussion skills of an absolute toddler.
1165,"<a href=""https://youtu.be/HINH3Irqs2M"">https://youtu.be/HINH3Irqs2M</a>"
1166,"“There&#39;s nothing smart about you Joe”<br>After Taliban blunder, agreed 100%"
1167,"Biden full of lies. Calling Trump  a liar is a joke, Arrest Biden"
1168,&quot;Don&#39;t ever use the word &#39;smart&#39; with me.&quot;<br><br>Don&#39;t worry. Your name and &quot;smart&quot; will never appear in a single sentence that I utter.
1169,They made themselves  mocked on debate
1170,This is weird!
1171,"I find this childlike level of debate very difficult to watch. The world depends on these people. <br>Unfortunately the Vice Presidents demonstrate a level of debate that, like the Presidential version, is naive to the extreme. I feel so sorry for America (USA)."
1172,"I miss when America actually had intelligent people debate and not just say silly things to each other. You make your points using facts, not sentiments."
1173,"America, where are you heading???"
1174,Два маразматика!
1175,Subtitle nya mana asu
1176,"The Commies are going into a crazy mad frenzy over President Trump, and they will do absolutely anything to win. Its like Joe Stalin said, &quot;its not who votes that count, its who counts the votes&quot;"
1177,Why trump always says something when biden talks??? Can&#39;t you let other finish first
1178,As an American I must apologize. The world should not have to witness this.
1179,"Trump Condemns White Supremacy 20 Times over 20 Years   <a href=""https://www.youtube.com/watch?v=bZWJdQysUw0"">https://www.youtube.com/watch?v=bZWJdQysUw0</a>  democrats are such liar fakes, will poke you in your eye and then say nope wasn&#39;t me"
1180,"Joe Biden recognizes that the largest forest in the world rich in Amazon bioversity, needs someone in charge with fists of arms, and respect for all life."
1181,childish
1182,"Check this out!<br><br><a href=""http://joylavita.com/"">joylavita.com</a>"
1183,The American dream is slowly fading. The country is becoming more and more divided by the day.
1184,"Biden is just cringworthy, god help you americans if you vote that man in."
1185,"We all saw the insults came from Biden first! Poor loser! &quot;Under this president we&#39;ll become more violent...&quot; Amazing hypocrisy. The one who instigate riots, paid by the racist &quot;Black Lives Matter Global Network Foundation&quot;, is now saying this... What do we have here - the democrats support violence then say it&#39;s Trump&#39;s fault. Poor leftists!"
1186,Johnson is an incompetent bumbling buffoon - almost as big an idiot as the people who elected him.
1187,Absolute joke !
1188,"Fake tests. Dr Kary Mullis, inventor of PCR, said do NOT use PCR for testing of infectious diseases. Download and share: <a href=""http://cv2020.s3.amazonaws.com/video/kary-mullis-pcr.mp4"">http://cv2020.s3.amazonaws.com/video/kary-mullis-pcr.mp4</a>"
1189,The BBC and the government are helping to create a new false teality
1190,"It&#39;s shame to take this virus easy where we already lost almost half a million people. Most of the Newcastle universities are almost all infected. We don&#39;t hesitate to risk our life and others who are vulnerable. If we all thinking that different rule violets freedom of movement, it is disgraceful. Public awareness is in need. It is a war against an unknown intruder and the people in this country behaving non patriotic (symbolic). Keeping away from all these nonsense activities we can save many others."
1191,🙄🙄🙄🙄🙄......
1192,Simple American question: What is the population of the UK?
1193,"Think about the consequences before you think about what you are doing or are outside friends will .put right what you have wronged make your decision BORIS.. swallow your <a href=""http://pride.you/"">pride.you</a> still have one last chance.RESPECT."
1194,░█▀▀▀ █── █──█ 　 ░█▀▀▀█ █▀▀ █▀▀█ █▀▀ █▀▀█ █▀▀▄ <br>░█▀▀▀ █── █──█ 　 ─▀▀▀▄▄ █▀▀ █▄▄█ ▀▀█ █──█ █──█ <br>░█─── ▀▀▀ ─▀▀▀ 　 ░█▄▄▄█ ▀▀▀ ▀──▀ ▀▀▀ ▀▀▀▀ ▀──▀
1195,"I was infected with Herpes virus, and we started taking medication for us to live healthy. There was a day I went online and searched for a cure for our virus, I saw many comments and many post until I saw a testimony about Dr Osaka and how he helped so many people get cure to their virus on the site. I contacted him and told him how i and my wife got our Herpes virus, he told me what we will have to do, which we did.After he finished, he told me that we will take his medication for a week which we also did so and 2 weeks ago we went for test and surprisingly i and my wife are now HIV negative. I am so happy that I got my wife infected and I also made him negative. All thanks goes to God for bringing Dr Osaka my way and at this point if there&#39;s anybody who is infected and you think there&#39;s no way of making yourself negative again I must tell you, that&#39;s a lie because Dr Osaka will make you negative again. contact (drosakaherb@gmail) or contact His  Whatsapp +2348136574975 there for you Thanks to Dr Osaka<br><br>He can also cure<br><br>Herpes virus<br><br>Gonorrhea<br><br>Low sperm count<br><br>Skip disease<br><br>HIV / AIDS<br><br>Arthritis<br><br>HERPES 1/2<br><br>CANCER<br><br>ALS (Lou Gehrig&#39;s disease)<br><br>Hepatitis B<br><br>chronic pancreatic<br><br>emphysema"
1196,Defund the BBC...
1197,is it next to who/ india US Bra???
1198,keep safe
1199,Be carefully moves!
1200,Be safe be protected
1201,national Lock must
1202,LOCK Must!lock needed nationwide
1203,hard/tough Lock must
1204,I was going to leave a comment but the number of <i>weird</i> conspiracy theories has me taking cover under the kitchen table with a tin foil hat. What do you mean the Earth is an oblate spheroid?
1205,Boris and the scientist have had everything wrong all along and the tactics they have used is just a big laugh... Basically it’s an airborne virus and whoever catches and dies from it’s unfortunate for them and their family.
1206,God help us BBC equals CNN Bias
1207,"Got real card from <b>Darkorbot</b> on telegram and he helped me load more on it,it still working no security issues so far.....that guy is good for the card job🤘👍"
1208,"I’ve gotten back with my ex boyfriend with the help of Dr Aigbojie the best spell caster online and i highly recommends Dr Aigbojie to anyone in need of help!.. I want to testify of how i got back my boyfriend after he breakup with me, we have been together for 3 years, recently i found out my boyfriend was having an affair with another Girlfriend , when i confronted him, it led to quarrels and he finally broke up with me, i tried all i could to get him back but all to no avail until i saw a post in a relationship forum about a spell caster who helps people get back their lost love through Love spell, at first i doubted it but decided to give it a try, when i contacted this spell via his email, and he told me what to do and i did it, Then he did a Love spell for me. 15 hours later, my boyfriend really called me and told me that he miss me so much, So Amazing!! So that was how he came back that same day,with lots of love and joy,and he apologized for his mistake,and for the pain he caused me. Then from that day,our relationship was now stronger than how it were before, All thanks to Dr Aigbojie he is so powerful and i decided to share my story on the internet that Dr Aigbojie and powerful spell caster need your Exback or your husband contact himvia draigbojiespellcaster@<a href=""http://gmail.com/"">gmail.com</a> or WhatsApp  +2348153542326"
1209,"Check this out!<br><br><a href=""http://joylavita.com/"">joylavita.com</a>"
1210,"&quot;American Veterans, Current Military &amp; Families&quot;<br>                                                 As of: 10,1,2020 <br>                                      Donald Trump &amp; His Administration...<br>                                        &quot;LIED&quot; &amp; KNOWINGLY ALLOWED&quot;<br>                                          &quot;211,833&quot; AMERICANS TO DIE&quot; <br>                                                &quot;FROM CORONAVRIUS&quot;<br><br>                                 &quot;Trumps thoughts &amp; comments on America&#39;s Military...<br>               Trump allowed Russian Bounties on American Military with no consequences<br>                       (The U.S. would retaliate if bounties on U.S. troops were true<br>            (not taking intelligence information concerning soldiers deaths seriously<br>                             (Trump quote on Russian Bounties---Aug 20,2020)                                     <br>                        Asked wounded veterans be kept out of military parades <br>                  Refused to visit military cemetery in France because it was raining<br>                            Took four collage deferments from 1964 to 1968<br>                       When those deferments ran out, in 1972 Trump then took a<br>                                   1-Y medical deferment due to (bone) spurs<br>                                                 &quot;Trump on (bone) spurs...<br>                 “I had a doctor that gave me a letter, a very strong letter on the heels,” <br>                      &quot;It was not a big problem, “Over a period of time, it healed up,”<br>            (Trump kept his 1-Y status until 1972, when he became 4-F and was permanently <br>                                      disqualified from military service in Vietnam)<br>                                 &quot;58,214 Brothers &amp; Sisters were killed in country&quot;<br>                              Over 1,626 Americans missing &amp; Still Unaccounted for<br>                                            Vietnam Veterans &amp; America<br>                                              Who do you think our lost<br>                                                 Servicemen &amp; Woman<br>                                                      Would Want You<br>                                                         To Vote For<br>                                               &quot;Another Thing...<br>                                                  &quot;America&#39;s Military are not&quot;<br>                                                      &quot;LOSERS &amp; SUCKERS&quot; <br>                                         &quot;You draft dodging lying chicken sh%t&quot;<br>                                               I implore every Vietnam Vet to...<br>                          &quot;Vote Trump &amp; his administration out of office this November&quot;<br>                                                           Or the next <br>                                        &quot;Loser may be YOU or A Family Member&quot;<br>                                                            P.O.W. M.I.A.<br>                                                            Never Forget.."
1211,"<a href=""https://youtu.be/HLZ-0Fi8kuE"">https://youtu.be/HLZ-0Fi8kuE</a>"
1212,Manisha valmiki.Shame to humaninity. Shame to upper caste.Shame to Indian police.
1213,I know what to expect in the bbc reporting of it.
1214,WWG1WGA ... Q ... TRUMP 2020 .................................................TRUMP 2020 .... TRUMP 2020 .............. WWGAWGA ... Q ...  ...... WWG1WGA ... Q ........THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... WWG1WGA ... Q ... TRUMP 2020 .................................................TRUMP 2020 .... TRUMP 2020 .............. WWGAWGA ... Q ...  ...... WWG1WGA ... Q ........THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... WWG1WGA ... Q ... TRUMP 2020 .................................................TRUMP 2020 .... TRUMP 2020 .............. WWGAWGA ... Q ...  ...... WWG1WGA ... Q ........THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... WWG1WGA ... Q ... TRUMP 2020 .................................................TRUMP 2020 .... TRUMP 2020 .............. WWGAWGA ... Q ...  ...... WWG1WGA ... Q ........THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... WWG1WGA ... Q ... TRUMP 2020 .................................................TRUMP 2020 .... TRUMP 2020 .............. WWGAWGA ... Q ...  ...... WWG1WGA ... Q ........THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... WWG1WGA ... Q ... TRUMP 2020 .................................................TRUMP 2020 .... TRUMP 2020 .............. WWGAWGA ... Q ...  ...... WWG1WGA ... Q ........THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... WWG1WGA ... Q ... TRUMP 2020 .................................................TRUMP 2020 .... TRUMP 2020 .............. WWGAWGA ... Q ...  ...... WWG1WGA ... Q ........THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... WWG1WGA ... Q ... TRUMP 2020 .................................................TRUMP 2020 .... TRUMP 2020 .............. WWGAWGA ... Q ...  ...... WWG1WGA ... Q ........THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ... THEIR IS NO VIRUS ... THEIR IS NO VIRUS...THEIR IS NO VIRUS ...
1215,"<a href=""https://www.youtube.com/watch?v=VKNzLtVGslo&amp;t=1m44s"">1:44</a><br>Hand moving<br>In addition that 🤭🤭😆😆😆😆😆😆<br>How old you 17<br><a href=""https://www.youtube.com/watch?v=VKNzLtVGslo&amp;t=1m54s"">1:54</a><br>😜😜😆😆😆😆"
1216,"Let Beidan take power, he will close the war all over the planet. A rotten person, thoughts are evil."
1217,"Turns out there was a hiding place, the &quot;moderator&quot; did most of Biden&#39;s debate for him."
1218,<b>C-Span poll had Trump the clear winner at 53%</b><br>And sleepy Joe O&#39;Hiden at <b>29%</b><br><b>TRUMP 2020 Landslide</b> 🇬🇧🇺🇲✊🏻
1219,Donald Trump  Is The Best President for USA
1220,"“Stand back, and stand by”  For what?  The Proud Boys aren&#39;t deputized.  No state government has delegated any authority to them.  Don&#39;t fear these ass hats.  Their authority ends at their own individual property line just like any other U.S. citizen.   I suspect in the near future we are going to see multiple white supremacy groups try to become the enforcement arm of Donald Drumpf&#39;s Presidency.  When and if you see that, it is going to be time for every American patriot to don their masks like our enemy and fight back.  Do not be ashamed.  If you know your cause is true, if we must fight this fight once again, we must be stalwart and resolute in our conviction to honor our blessed Constitution.  I think the coming violence in the United States is a fight most of us have been trying to avoid.  And in that reluctance we have legitimized the traitors amongst us.   <br><br>     The people in Congress only have so much power.  Congress cannot protect you.  We must save ourselves.  I know these government officials and TV personalities seem so large in life on the big screen.  But they really have no more power than what we the citizenry are willing to get down in the trenches for.  Are you the type of American willing to die to save your country from fascists?  Are you anti fascist?   <br><br>     We are living on a thin line and there&#39;s no England anymore.   So stand back and stand by my fellow progressives, for now.  And remember, &quot;TOD DER NAZIS!&quot;<br><br><a href=""https://youtu.be/FqGGPq7T4GI"">https://youtu.be/FqGGPq7T4GI</a>"
1221,"Emily Matis was an activist when interviewing both reps pre debate. Script reading with slurs and fake news. <br>Such a sour pointless woman, who thinks she&#39;s a &#39;journalist&#39; 😂😂"
1222,The only thing you can count on in this show is that we will get to see Trump&#39;s mouth for what it is.... a major source of global warming.
1223,BBC news is &quot;Gotcha Fake Journalism&quot; lol.
1224,A Arbaz khan or arjun kapoor<br>R ranbeer kapoor or ranveer Singh<br>S Saif Ali khan or shahid kapoor<br>Arbaz khan q marega ssr qki Salman khan aur karan johar ka ishara ta<br>Arjun kapoor q marega ssr ko qki peer complex nepotism inferior<br>Saif Ali khan q marega ssr ko qki sara Ali khan se alag karvana ta qki ssr ek hindu ta nepotism product nahi ta<br>Shahid Kapoor q marega ssr q ki itne saalo tak Bollywood mafia ka tthook chaatne k Baad bi shahid kapoor ssr jitna bda star nahi ta aur na kbi banpata<br>Ranbeer kapoor q marega ssr ko qki jb Ashraf bhatt aka urf Mahesh bhatt ki kutiya pilli i la bhatt maarna chahti ti as confessed on koffee with karan charas johar toh koi bdi Baat nahi ranbeer kapoor k liye aesi soch rakhna<br>Ranveer Singh q maarega ssr ko qki actually me sahi maaino me ranveer Singh ko bheek me mili ti abtak ki Saari pictures movies jo ek waqt pr ssr ko milni vaali ti aur kahi n kahi ye Bollywood mafia all all all nepotism products starting from Remo dezusa son Sohail khan son to bony kapoor son to David dhavan sons ye sab Bollywood mafia aur nepotism products jaan chuke te Maan chuke te pehchaan chuke te k SUSHANT SINGH RAJPUT A HINDU BOY IS THE NEXT UNMATCHABLE CAN NOT BE CONQURED BIGGEST SUPERDUPER INDIAN HINDI MOVIES STAAAR.<br>.<br>.<br>.<br>.<br>.<br>.<br>ARREST <br>AU AADITYA UDDHAV TTHACKRE<br>KARAN JOHAR <br>SALMAN KHAN <br>MAHESH BHATT AKA URF ASHRAF BHATT <br>SOORAJ PANCHOLI <br>IN CHARGES OF MURDERS KILLINGS CONSPIRACY SSR DISHA JIYA SRIDEVI SAMEER DIVYA BHARTI PARVEEN BABI &amp; MANY MORE AND UNDER CHARGES OF DRUGS TRADE MONEY LAUNDERING FLESH TRADE CRICKET GAMBLING IN ALLIANCES WITH THE MOST WANTED GANGSTER DAWOOD ABRAHIM FULL STOP
1225,This tv debate is a plan to make 2 senior white men look incompetent. This is the Dems plan....At the last minute they will switch out Biden and replace him with Michelle Obama.<br>Biden will fall sick with dementia or covid. .. and be taken out of the race.Hence the reason why yesterday the BBC said...Watch for &quot;Blue October&quot;<br>The Demon rats have a plan and it has to involve a black A list woman. to go up against POTUS.
1226,"BBC , Don’t spread fake news . Every child in Sri Lanka has access to school education for free. . It’s a basic Sri Lankan law which is strictly enforced! The background they come from doesn’t matter. The education from primary school to university level is all free for anyone Sri Lanka"
1227,SRI LANKA ❤️🇱🇰
1228,"I&#39;m a Sri Lankan but didn&#39;t know, Sri Lanka had these kind of society that girls don&#39;t go to school, isn&#39;t it compulsory to go to school until grade 13 in Sri Lanka. Except you fail the grade 11 exam 🤔"
1229,"This is fake,stop saying random stuff ok!🤬 I know my Sri <a href=""http://lanka.education/"">Lanka.Education</a> is free for everyone no matter what religion or beliefs.why spread poi News?en da en"
1230,Long live free education
1231,Sir pompio is best our country developers 🇺🇸📞💙👌
1232,Eventuality or coincidence??????????????????????????????????????????????????????????????????????????????? THE ROTHSCHILD PLANTATION ESTATE JUST NEXT TO PRESIDENTIAL (THEN GOVERNOR GENERAL CEYLON) OFFICIAL RESIDENCE IN NUWARELIYA DISTRICT= EUROPEANS MORE RESPONSIBLE FOR SLAVE TRADE THAN ANY OTHER ETHNICITY.
1233,"Poor people say anything for european money, everyone in Sri Lanka have to earn knowledge but those people are think government can give everything to their feet."
1234,"Not gonna lie I’m Tamil and Sri Lanka has improved in the push for free education but in reality it is incomplete. Village people tend to lack education in comparison to cities. And though Tamil people do have free education, they are in certain instances subjugated to social inequality. Still stories like these show the youth is getting more benefits in education as we near the future. People who say sri Lanka has free 100% education need to take a closer look at what this theory does in practice."
1235,Fake news
1236,"Such a fake news, in Sri Lanka education is free for everyone, regardless of race or religious believes. <br><br>BBC Stop doing fake NEWS."
1237,She is such an inspiring Women. Wish her all the best!
1238,when we&#39;d fluffy all shaved with chai latte cloth I&#39;s
1239,Sri Lanka has free education. Don’t make a bad image about Sri Lanka.. the most of tea estate workers are don’t like change their life system.. that’s why they work as a tea pickers.. after their work you can see all tea pickers going to the bar and buy arrack.. husband and wife drink together.. that’s their life system.. they don’t want their children’s education.. when their kids become a teenagers they also marry and doing like their parents.. bbs don’t make fake news ok.. first come Sri Lanka and look our country situation..
1240,Why are they all blacks
1241,"I am so happy Dr Abiola has make me to be happy Dr Abiola was able to cure me totally from HIV disease with his natural roots and herbs he sent to me after two weeks of usages I went for a check up and when the result was out it was negative you can get in touch with Dr Abiola if you are suffering from HIV disease so that he can also cure you totally as he did mine via email drabiolahome@<a href=""http://gmail.com/"">gmail.com</a> or message him on whatsapp +2348163587231  I am so happy Dr Abiola has make me to be happy Dr Abiola was able to cure me totally from HIV disease with his natural roots and herbs he sent to me after two weeks of usages I went for a check up and when the result was out it was negative you can get in touch with Dr Abiola if you are suffering from HIV disease so that he can also cure you totally as he did mine via email drabiolahome@<a href=""http://gmail.com/"">gmail.com</a> or message him on whatsapp +2348163587231 kk"
1242,Thanks God they are building them back otherwise Britishers almost have distroyed them.
1243,Great
1244,"The Quraan and modern science <a href=""https://youtu.be/cPkDQvmDviQ"">https://youtu.be/cPkDQvmDviQ</a><br>Prophet muhammad (pbuh) prophesied in the Bible <a href=""https://youtu.be/3PyAiv92XjY"">https://youtu.be/3PyAiv92XjY</a>"
1245,“Tea pickers didn’t came here”               They were brought by the British to use as cheap labor .                                                       Until now  they are used as cheap labor with a cheap life.
1246,"Wow .. this timeline evidence of the Obamagate Biden scandal is incredible ! <br><a href=""https://wsau.com/2019/12/03/bombshell-the-obama-administration-stole-about-7-billion-dollars-through-ukraine/"">https://wsau.com/2019/12/03/bombshell-the-obama-administration-stole-about-7-billion-dollars-through-ukraine/</a>"
1247,He said the truth  that s why demicrat afraid of him
1248,I love Donald Trump tell you the truth
1249,Biden&#39;s is mentally aged and touchy-feely approach with females isn&#39;t comforting.
1250,"I am glad I am not American and I don&#39;t have to vote for one of them... Seriously, I don&#39;t even know who is worse!"
1251,“The election of Donald Trump did not create the left’s hate.... it revealed it.”
1252,Now this is my type of comedy
1253,They are just a representation of what America has become. Child-like.
